Partnumber,Package,Value,Tolerance
8900679368,0207,66.5k,2%
8900228208,0207,14k,2%
0273142410,LGA 8x8,SMI956,
1267369631,0603,120nH,
8905502621,P-DSO-12-4,TLE4473GV55-2,
3337619259,,100uF,20%
8900132091,0805,1.65k,1%
8909B02501,,,
8902838869,,6.8nF,20%
890900906501,0603,4.7k,1%
8909015761,13x11.5x1.2mm,SDINFDQ6-64G-ZA,
8902955441,,470nF,20%
890550142801,0402,332R,1%
890900544101,8-pin HSON,NP20P06YLG,
8909B03919,HVQFN32,NCJ3320,
8900433271,0414,649R,1%
0274B0188201,BGA64-Sondergroesse,SMI750F1-FLEX,
8900467031,0309,20.5R,2%
1274477959,,,
890901329801,SOD128,PNE20030EP-Q,
8905510179,0603,10nF,10%
8909008351,DO-214AA (SMB),FES2JSR TG,
8900679369,0207,68.1k,2%
8902960419,,1uF,20%
0273142411,LGA 8x8,SMI956,
8900228209,0207,14.7k,2%
8909003504W1,BGA292,R7F701327EABG#YJ,
8900214341,0204,3.57k,2%
8909011291,18 x6  x 12,22nF,10%
8909B0730601,SOIC-16,,
8902903401,,4.7nF,5%
1270CD6371,,59S22B-40MT5-Z,
8909008352,SOT-23,TPS7B4250-Q1,
8909B02502,,BMI-S-206-F,
8928310392,SMD,26MHz,
8909011292,28X32,1.8uF,5%
8900132092,0805,1.65k,1%
8909003504W2,BGA292,R7F701327EABG#YJ,
8900467032,0309,21R,2%
1270CD6372,,MX34WA20NF3,
8902903402,,6.8nF,5%
8909015762,THT,BCK3501-1354,
8900433272,0414,665R,1%
8900214342,0204,3.74k,2%
