"Component ID","Symbol Name","Part Name","Reference Designator","Not mount on PCB","Value"
"","SymbolName","partName","reference","noMount","value"
"sht10.cmp5389/sht1.cmp2819","exportout.smb","P31_1_PS1_AK12","","",""
"sht10.cmp5389/sht1.cmp2820","exportout.smb","P31_0_PS0_AJ12","","",""
"sht10.cmp5389/sht1.cmp2821","exportout.smb","P31_8_PS8_AJ16","","",""
"sht10.cmp5389/sht1.cmp2822","exportout.smb","P26_0_PY4_AG29","","",""
"sht10.cmp5389/sht1.cmp2823","exportout.smb","P25_0_PV0_AG30","","",""
"sht10.cmp5389/sht1.cmp2824","exportout.smb","P25_1_PV1_AF30","","",""
"sht10.cmp5389/sht1.cmp2825","exportout.smb","P25_2_PV2_AF29","","",""
"sht10.cmp5389/sht1.cmp2826","exportout.smb","P25_5_PV5_AD30","","",""
"sht10.cmp5389/sht1.cmp2827","exportout.smb","P25_4_PV4_AE29","","",""
"sht10.cmp5389/sht1.cmp2828","exportout.smb","P25_3_PV3_AE30","","",""
"sht10.cmp5389/sht1.cmp2829","exportout.smb","P25_7_PV7_AD29","","",""
"sht10.cmp5389/sht1.cmp2830","exportout.smb","P25_8_PV8_AC29","","",""
"sht10.cmp5389/sht1.cmp2831","exportout.smb","P25_9_PV9_AC30","","",""
"sht10.cmp5389/sht1.cmp2832","exportout.smb","P25_10_PV10_AB29","","",""
"sht10.cmp5389/sht1.cmp2833","exportout.smb","P25_11_PV11_AB30","","",""
"sht10.cmp5389/sht1.cmp2834","exportout.smb","P25_6_PV6_W29","","",""
"sht10.cmp5389/sht1.cmp2843","volt1b_sdsym_1.smb","VDD5A_R_VDDM","","","UNDEF"
"sht10.cmp5389/sht1.cmp2852","exportin.smb","AN2_AN2_AD14","","",""
"sht10.cmp5389/sht1.cmp2853","exportin.smb","AN3_AN3_AB14","","",""
"sht10.cmp5389/sht1.cmp2854","exportin.smb","AN5_AN5_AE14","","",""
"sht10.cmp5389/sht1.cmp2855","exportin.smb","AN4_AN4_AA14","","",""
"sht10.cmp5389/sht1.cmp2856","exportin.smb","AN8_AN8_AD13","","",""
"sht10.cmp5389/sht1.cmp2857","exportin.smb","AN7_AN7_AB13","","",""
"sht10.cmp5389/sht1.cmp2859","exportin.smb","AN6_AN6_AA13","","",""
"sht10.cmp5389/sht1.cmp2860","exportin.smb","AN12_AN12_AA12","","",""
"sht10.cmp5389/sht1.cmp2861","exportin.smb","AN10_AN10_AE13","","",""
"sht10.cmp5389/sht1.cmp2862","exportin.smb","AN13_AN13_AD11","","",""
"sht10.cmp5389/sht1.cmp2863","exportin.smb","AN11_AN11_AD12","","",""
"sht10.cmp5389/sht1.cmp2864","exportin.smb","AN14_AN14_AB11","","",""
"sht10.cmp5389/sht1.cmp2865","exportin.smb","AN9_AN9_AB12","","",""
"sht10.cmp5389/sht1.cmp2866","exportin.smb","AN22_AN22_AA10","","",""
"sht10.cmp5389/sht1.cmp2867","exportin.smb","AN19_AN19_AD8","","",""
"sht10.cmp5389/sht1.cmp2868","exportin.smb","AN20_AN20_AE8","","",""
"sht10.cmp5389/sht1.cmp2869","exportin.smb","AN17_AN17_AB10","","",""
"sht10.cmp5389/sht1.cmp2870","exportin.smb","AN18_AN18_AD9","","",""
"sht10.cmp5389/sht1.cmp2871","exportin.smb","AN21_AN21_AE7","","",""
"sht10.cmp5389/sht1.cmp2872","exportin.smb","AN16_AN16_AD10","","",""
"sht10.cmp5389/sht1.cmp2874","exportin.smb","AN28_AN28_AB7","","",""
"sht10.cmp5389/sht1.cmp2875","exportin.smb","AN24_AN24_AD7","","",""
"sht10.cmp5389/sht1.cmp2876","exportin.smb","AN26_AN26_AC7","","",""
"sht10.cmp5389/sht1.cmp2877","exportin.smb","AN27_AN27_AC6","","",""
"sht10.cmp5389/sht1.cmp2878","exportin.smb","AN25_AN25_AD6","","",""
"sht10.cmp5389/sht1.cmp2879","exportin.smb","AN23_AN23_Y10","","",""
"sht10.cmp5389/sht1.cmp2881","exportin.smb","AN31_AN31_Y9","","",""
"sht10.cmp5389/sht1.cmp2882","exportin.smb","AN29_AN29_AB6","","",""
"sht10.cmp5389/sht1.cmp2883","exportin.smb","AN32_AN32_W9","","",""
"sht10.cmp5389/sht1.cmp2884","exportin.smb","AN30_AN30_AA9","","",""
"sht10.cmp5389/sht1.cmp2885","exportin.smb","AN36_AN36_V9","","",""
"sht10.cmp5389/sht1.cmp2886","exportin.smb","AN38_AN38_V10","","",""
"sht10.cmp5389/sht1.cmp2888","exportin.smb","AN35_AN35_Y7","","",""
"sht10.cmp5389/sht1.cmp2889","exportin.smb","AN33_AN33_Y6","","",""
"sht10.cmp5389/sht1.cmp2890","exportin.smb","AN37_AN37_W7","","",""
"sht10.cmp5389/sht1.cmp2891","exportin.smb","AN34_AN34_W10","","",""
"sht10.cmp5389/sht1.cmp2892","exportin.smb","AN39_AN39_W6","","",""
"sht10.cmp5389/sht1.cmp2893","exportin.smb","AN47_AN47_U7","","",""
"sht10.cmp5389/sht1.cmp2894","exportin.smb","AN44_AN44_V6","","",""
"sht10.cmp5389/sht1.cmp2895","exportin.smb","AN40_AN40_U10","","",""
"sht10.cmp5389/sht1.cmp2896","exportin.smb","AN41_AN41_U9","","",""
"sht10.cmp5389/sht1.cmp2897","exportin.smb","AN45_AN45_V7","","",""
"sht10.cmp5389/sht1.cmp2898","exportin.smb","AN43_AN43_T9","","",""
"sht10.cmp5389/sht1.cmp2899","exportin.smb","AN46_AN46_U6","","",""
"sht10.cmp5389/sht1.cmp2900","exportin.smb","AN42_AN42_T10","","",""
"sht10.cmp5389/sht1.cmp2901","exportin.smb","AN15_AN15_AA11","","",""
"sht10.cmp5389/sht1.cmp2931","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp2932","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp2945","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp2946","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp2947","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp2950","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp2951","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp2952","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp2953","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp2967","shconout.smb","GNDA_VSSM","","",""
"sht10.cmp5389/sht1.cmp2969","shconout.smb","GNDA_VAGND","","",""
"sht10.cmp5389/sht1.cmp2983","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp2984","volt1b_sdsym_1.smb","VDD5_UC","","","VDD3"
"sht10.cmp5389/sht1.cmp2986","shconin.smb","GNDA_VAGND","","",""
"sht10.cmp5389/sht1.cmp2988","shconin.smb","GNDA_VSSM","","",""
"sht10.cmp5389/sht1.cmp2995","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3000","gndd_sym_1.smb","GND_P","","",""
"sht10.cmp5389/sht1.cmp3234","exportio.smb","P20_1_PH11_M24","","",""
"sht10.cmp5389/sht1.cmp3235","exportio.smb","P20_3_PF15_M25","","",""
"sht10.cmp5389/sht1.cmp3236","exportio.smb","P33_14_PL14_AA19","","",""
"sht10.cmp5389/sht1.cmp3250","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3254","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3256","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3263","volt1b_sdsym_1.smb","VDD5_UC","","","VDD3"
"sht10.cmp5389/sht1.cmp3265","volt1b_sdsym_1.smb","VDD5_UC","","","VDD3"
"sht10.cmp5389/sht1.cmp3267","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3269","volt1b_sdsym_1.smb","VDD1VX_UC","","","VDD3"
"sht10.cmp5389/sht1.cmp3281","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3288","gndd_sym_1.smb","GND","","",""
"sht10.cmp5389/sht1.cmp3316","shconout.smb","DEV_P32_1_PF7_AD22","","",""
"sht10.cmp5389/sht1.cmp3338","volt1b_sdsym_1.smb","VDD5_UC","","","VDD3"
"sht10.cmp5389/sht1.cmp3339","gndd_sym_1.smb","GND_P2","","",""
"sht10.cmp5389/sht1.cmp3341","gndd_sym_1.smb","GND_P2","","",""
"sht10.cmp5389/sht1.cmp3352","nc.smb","NC","","",""
"sht10.cmp5389/sht1.cmp3362","volt1b_sdsym_1.smb","VDD5_UC","","","VDD3"
