Component ID,Reference Designator,Part Name,Not mount on PCB,Symbol Name
,reference,partName,noMount,SymbolName
sht1.cmp1963,L3590,1267369542,NO,drossel_pol_sdsym_1.smb
sht4.cmp4898,L4550,1277240021,NO,act_filter_no_pol_sdsym_1.smb
sht4.cmp4899,L4560,1277240021,NO,act_filter_no_pol_sdsym_1.smb
sht4.cmp4900,L4570,1277240021,NO,act_filter_no_pol_sdsym_1.smb
sht4.cmp4901,L4580,1277240021,NO,act_filter_no_pol_sdsym_1.smb
sht4.cmp4902,L4590,1277240021,NO,act_filter_no_pol_sdsym_1.smb
sht4.cmp4778,L4600,1267369162,YES,l_sym_1.smb
sht4.cmp4832,L4605,1267369162,YES,l_sym_1.smb
sht10.cmp5389/sht2.cmp3667,L5120,1267369160,NO,drossel_sdsym_1.smb
sht1.cmp2065,P0001,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2064,P0002,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2051,P0003,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2053,P0004,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2056,P0005,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2059,P0006,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp2069,P0009,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp233,P0010,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2613,P0101,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2608,P0102,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp666,P0113,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp740,P0114,ICT--POINT,,ict_sym_3.smb
sht1.cmp1499,P0143,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp1502,P0144,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp1510,P0145,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp1824,P0148,ICT--POINT,NO,ict_sym_3.smb
sht1.cmp1820,P0154,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp741,P0203,ICT--POINT,,ict_sym_3.smb
sht2.cmp742,P0213,ICT--POINT,,ict_sym_3.smb
sht2.cmp743,P0216,ICT--POINT,,ict_sym_3.smb
sht5.cmp2525,P0228,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2524,P0229,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp744,P0230,ICT--POINT,,ict_sym_3.smb
sht2.cmp745,P0234,ICT--POINT,,ict_sym_3.smb
sht2.cmp746,P0248,ICT--POINT,,ict_sym_3.smb
sht2.cmp747,P0257,ICT--POINT,,ict_sym_3.smb
sht2.cmp749,P0307,ICT--POINT,,ict_sym_3.smb
sht2.cmp750,P0308,ICT--POINT,,ict_sym_3.smb
sht2.cmp748,P0309,ICT--POINT,,ict_sym_3.smb
sht2.cmp751,P0323,ICT--POINT,,ict_sym_3.smb
sht5.cmp2523,P0325,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2522,P0326,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp753,P0346,ICT--POINT,,ict_sym_3.smb
sht2.cmp754,P0350,ICT--POINT,,ict_sym_3.smb
sht2.cmp755,P0354,ICT--POINT,,ict_sym_3.smb
sht2.cmp756,P0401,ICT--POINT,,ict_sym_3.smb
sht2.cmp757,P0405,ICT--POINT,,ict_sym_3.smb
sht5.cmp2529,P0415,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2528,P0418,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp758,P0427,ICT--POINT,,ict_sym_3.smb
sht2.cmp752,P0444,ICT--POINT,,ict_sym_3.smb
sht1.cmp2096,P0501,ICT--POINT,,ict_sym_3.smb
sht3.cmp348,P0504,ICT--POINT,,ict_sym_3.smb
sht1.cmp1821,P0506,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp760,P0525,ICT--POINT,,ict_sym_3.smb
sht2.cmp759,P0531,ICT--POINT,,ict_sym_3.smb
sht5.cmp2548,P0605,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2547,P0606,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2634,P0607,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2631,P0608,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp761,P0613,ICT--POINT,,ict_sym_3.smb
sht5.cmp2527,P0615,ICT--POINT,NO,ict_sym_3.smb
sht5.cmp2526,P0616,ICT--POINT,NO,ict_sym_3.smb
sht2.cmp762,P0624,ICT--POINT,,ict_sym_3.smb
sht9.cmp653,P1100,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp663,P1101,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp659,P1102,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp637,P1103,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp629,P1104,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp647,P1105,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2364,P1200,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2361,P1203,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2375,P1210,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2372,P1213,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2386,P1220,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2383,P1223,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2419,P1230,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2416,P1233,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2430,P1240,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2427,P1243,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2441,P1250,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2438,P1253,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2491,P1260,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2499,P1263,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2477,P1270,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2471,P1273,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2656,P1280,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2630,P1283,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2618,P1290,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2641,P1293,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2680,P1300,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2626,P1303,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2672,P1310,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2648,P1313,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2654,P1320,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2638,P1323,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2703,P1330,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2708,P1333,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2769,P1335,ICT--POINT,NO,ict_sym_3.smb
sht6.cmp2777,P1338,ICT--POINT,NO,ict_sym_3.smb
sht7.cmp3158,P1568,ICT--POINT,NO,ict_sym_3.smb
sht7.cmp3176,P1600,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp339,P1800,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp330,P1801,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp336,P1802,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp368,P1810,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp346,P1811,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp356,P1812,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp396,P1820,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp386,P1821,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp398,P1822,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp401,P1830,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp415,P1831,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp400,P1832,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp431,P1840,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp438,P1841,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp454,P1842,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp555,P1850,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp559,P1851,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp576,P1852,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp595,P1860,ICT--POINT,NO,ict_sym_3.smb
sht9.cmp587,P1861,ICT--POINT,NO,ict_sym_3.smb
